ssh://root@connect.westa.seetacloud.com:16400/root/miniconda3/bin/python3 -u /root/autodl-tmp/examples/Perception_and_Learning/Conversion/burst_conversion/CIFAR10_mobilenet.py
Files already downloaded and verified
Files already downloaded and verified
dataloader finished
training on  cuda:0
epoch 1, lr 0.050000, loss 2.547164, train acc 0.132752, test acc 0.164200, time 20.2 sec
epoch 2, lr 0.049999, loss 2.261780, train acc 0.171935, test acc 0.255200, time 18.0 sec
epoch 3, lr 0.049995, loss 2.141854, train acc 0.216546, test acc 0.322400, time 18.1 sec
epoch 4, lr 0.049988, loss 2.075678, train acc 0.251983, test acc 0.363500, time 18.0 sec
epoch 5, lr 0.049978, loss 2.015782, train acc 0.283333, test acc 0.404700, time 18.0 sec
epoch 6, lr 0.049966, loss 1.965359, train acc 0.308073, test acc 0.425000, time 18.2 sec
epoch 7, lr 0.049951, loss 1.925582, train acc 0.331090, test acc 0.431500, time 17.9 sec
epoch 8, lr 0.049933, loss 1.882762, train acc 0.355369, test acc 0.491600, time 17.9 sec
epoch 9, lr 0.049912, loss 1.843152, train acc 0.376402, test acc 0.500000, time 17.9 sec
epoch 10, lr 0.049889, loss 1.819629, train acc 0.388121, test acc 0.516200, time 17.3 sec
epoch 11, lr 0.049863, loss 1.785901, train acc 0.405909, test acc 0.546900, time 19.2 sec
epoch 12, lr 0.049834, loss 1.762415, train acc 0.421875, test acc 0.554800, time 19.8 sec
epoch 13, lr 0.049803, loss 1.743052, train acc 0.427624, test acc 0.550700, time 18.2 sec
epoch 14, lr 0.049769, loss 1.725788, train acc 0.437059, test acc 0.571400, time 19.2 sec
epoch 15, lr 0.049732, loss 1.701869, train acc 0.448057, test acc 0.588300, time 18.7 sec
epoch 16, lr 0.049692, loss 1.682786, train acc 0.459275, test acc 0.585400, time 21.4 sec
epoch 17, lr 0.049650, loss 1.667861, train acc 0.463462, test acc 0.580300, time 18.8 sec
epoch 18, lr 0.049605, loss 1.647752, train acc 0.473978, test acc 0.589700, time 18.3 sec
epoch 19, lr 0.049557, loss 1.632435, train acc 0.483073, test acc 0.606200, time 17.7 sec
epoch 20, lr 0.049507, loss 1.619532, train acc 0.488602, test acc 0.566300, time 17.8 sec
epoch 21, lr 0.049454, loss 1.604006, train acc 0.496414, test acc 0.555200, time 17.3 sec
epoch 22, lr 0.049398, loss 1.598349, train acc 0.498257, test acc 0.632700, time 18.7 sec
epoch 23, lr 0.049339, loss 1.589067, train acc 0.503526, test acc 0.608700, time 19.4 sec
epoch 24, lr 0.049278, loss 1.577537, train acc 0.511579, test acc 0.555000, time 18.6 sec
epoch 25, lr 0.049215, loss 1.571981, train acc 0.512500, test acc 0.614600, time 18.1 sec
epoch 26, lr 0.049148, loss 1.562780, train acc 0.517568, test acc 0.614700, time 17.9 sec
epoch 27, lr 0.049079, loss 1.557522, train acc 0.518029, test acc 0.633400, time 17.9 sec
epoch 28, lr 0.049007, loss 1.553329, train acc 0.522897, test acc 0.613600, time 18.2 sec
epoch 29, lr 0.048933, loss 1.546515, train acc 0.525901, test acc 0.642800, time 17.8 sec
epoch 30, lr 0.048856, loss 1.540242, train acc 0.527985, test acc 0.652800, time 18.4 sec
epoch 31, lr 0.048776, loss 1.536614, train acc 0.528606, test acc 0.633300, time 17.9 sec
epoch 32, lr 0.048694, loss 1.537453, train acc 0.529908, test acc 0.651900, time 17.5 sec
epoch 33, lr 0.048609, loss 1.525281, train acc 0.535236, test acc 0.614100, time 19.2 sec
epoch 34, lr 0.048522, loss 1.515535, train acc 0.541406, test acc 0.651800, time 19.5 sec
epoch 35, lr 0.048432, loss 1.517298, train acc 0.540164, test acc 0.626900, time 18.0 sec
epoch 36, lr 0.048340, loss 1.508172, train acc 0.544992, test acc 0.661100, time 18.5 sec
epoch 37, lr 0.048244, loss 1.505067, train acc 0.543690, test acc 0.611100, time 17.8 sec
epoch 38, lr 0.048147, loss 1.497347, train acc 0.548918, test acc 0.671800, time 17.8 sec
epoch 39, lr 0.048047, loss 1.490371, train acc 0.550962, test acc 0.642300, time 17.6 sec
epoch 40, lr 0.047944, loss 1.491037, train acc 0.553085, test acc 0.669200, time 17.8 sec
epoch 41, lr 0.047839, loss 1.492526, train acc 0.553706, test acc 0.677200, time 17.9 sec
epoch 42, lr 0.047731, loss 1.485483, train acc 0.554748, test acc 0.668700, time 18.1 sec
epoch 43, lr 0.047621, loss 1.484253, train acc 0.556370, test acc 0.683700, time 17.9 sec
epoch 44, lr 0.047508, loss 1.478279, train acc 0.558574, test acc 0.688900, time 18.2 sec
epoch 45, lr 0.047393, loss 1.478226, train acc 0.560357, test acc 0.692500, time 18.3 sec
epoch 46, lr 0.047275, loss 1.469046, train acc 0.567147, test acc 0.654000, time 17.9 sec
epoch 47, lr 0.047155, loss 1.470444, train acc 0.562600, test acc 0.680500, time 17.7 sec
epoch 48, lr 0.047033, loss 1.472026, train acc 0.563762, test acc 0.700700, time 17.8 sec
epoch 49, lr 0.046908, loss 1.464297, train acc 0.567829, test acc 0.690000, time 18.0 sec
epoch 50, lr 0.046780, loss 1.463521, train acc 0.567087, test acc 0.626800, time 18.4 sec
epoch 51, lr 0.046651, loss 1.463312, train acc 0.566166, test acc 0.690100, time 18.9 sec
epoch 52, lr 0.046519, loss 1.459334, train acc 0.571114, test acc 0.672100, time 18.5 sec
epoch 53, lr 0.046384, loss 1.456936, train acc 0.569511, test acc 0.658400, time 18.3 sec
epoch 54, lr 0.046247, loss 1.458623, train acc 0.569531, test acc 0.695700, time 19.0 sec
epoch 55, lr 0.046108, loss 1.452778, train acc 0.572055, test acc 0.703600, time 18.0 sec
epoch 56, lr 0.045967, loss 1.453458, train acc 0.570974, test acc 0.701400, time 18.3 sec
epoch 57, lr 0.045823, loss 1.456554, train acc 0.571795, test acc 0.694300, time 18.4 sec
epoch 58, lr 0.045677, loss 1.455098, train acc 0.571715, test acc 0.705000, time 19.2 sec
epoch 59, lr 0.045529, loss 1.447555, train acc 0.578425, test acc 0.696800, time 18.1 sec
epoch 60, lr 0.045378, loss 1.444492, train acc 0.578125, test acc 0.692400, time 17.8 sec
epoch 61, lr 0.045225, loss 1.449688, train acc 0.572496, test acc 0.687700, time 18.8 sec
epoch 62, lr 0.045070, loss 1.437331, train acc 0.581230, test acc 0.697400, time 20.5 sec
epoch 63, lr 0.044913, loss 1.450556, train acc 0.573658, test acc 0.692900, time 18.0 sec
epoch 64, lr 0.044754, loss 1.439188, train acc 0.579067, test acc 0.685800, time 18.1 sec
epoch 65, lr 0.044592, loss 1.441393, train acc 0.577384, test acc 0.678200, time 18.0 sec
epoch 66, lr 0.044429, loss 1.444318, train acc 0.578606, test acc 0.645200, time 18.0 sec
epoch 67, lr 0.044263, loss 1.435564, train acc 0.581510, test acc 0.660800, time 17.9 sec
epoch 68, lr 0.044095, loss 1.435534, train acc 0.582372, test acc 0.690900, time 18.1 sec
epoch 69, lr 0.043925, loss 1.434290, train acc 0.581931, test acc 0.699600, time 19.3 sec
epoch 70, lr 0.043753, loss 1.431104, train acc 0.582372, test acc 0.665800, time 18.1 sec
epoch 71, lr 0.043579, loss 1.427439, train acc 0.584515, test acc 0.664900, time 17.8 sec
epoch 72, lr 0.043402, loss 1.434884, train acc 0.581871, test acc 0.707400, time 18.1 sec
epoch 73, lr 0.043224, loss 1.428896, train acc 0.583233, test acc 0.700600, time 18.0 sec
epoch 74, lr 0.043044, loss 1.431169, train acc 0.582232, test acc 0.700300, time 17.5 sec
epoch 75, lr 0.042862, loss 1.427759, train acc 0.585577, test acc 0.699000, time 17.9 sec
epoch 76, lr 0.042678, loss 1.428822, train acc 0.584435, test acc 0.694100, time 18.1 sec
epoch 77, lr 0.042492, loss 1.432272, train acc 0.582051, test acc 0.676600, time 17.8 sec
epoch 78, lr 0.042304, loss 1.423496, train acc 0.587240, test acc 0.724100, time 18.7 sec
epoch 79, lr 0.042114, loss 1.426060, train acc 0.587941, test acc 0.667800, time 18.6 sec
epoch 80, lr 0.041922, loss 1.425635, train acc 0.588902, test acc 0.696700, time 18.2 sec
epoch 81, lr 0.041728, loss 1.426045, train acc 0.584716, test acc 0.708500, time 18.5 sec
epoch 82, lr 0.041533, loss 1.417131, train acc 0.588762, test acc 0.725900, time 18.4 sec
epoch 83, lr 0.041336, loss 1.423107, train acc 0.586378, test acc 0.710500, time 19.2 sec
epoch 84, lr 0.041136, loss 1.419832, train acc 0.587520, test acc 0.707100, time 18.7 sec
