epoch,train_loss,eval_loss,eval_top1
0,4.608176649074116,4.6055164138793945,1.15
1,4.5657704992367485,4.392436721038818,3.0
2,4.498686119113737,4.290397153472901,5.3
3,4.451643218164858,4.166363291931153,6.68
4,4.399495455310168,4.02534103012085,8.93
5,4.369783349354249,3.9805779609680174,9.8
6,4.324867444270102,3.8663639194488524,12.27
7,4.26994862763778,3.7745992706298828,13.5
8,4.225386775972898,3.7084690074920656,14.92
9,4.1966265110713445,3.689629079055786,15.26
10,4.162157222438042,3.551021015930176,17.04
11,4.121795163739978,3.5064950527191163,17.52
12,4.084178546505511,3.4497232872009276,19.12
13,4.05544617932166,3.433165313720703,19.34
14,4.0215427018797305,3.368827675628662,20.31
15,3.9887834147114276,3.3669882095336914,20.08
16,3.96172215688564,3.268100561904907,22.04
17,3.9235630276258036,3.248233678817749,22.6
18,3.891806686015995,3.1966002899169923,24.08
19,3.8618292970120756,3.1591964233398437,24.25
20,3.8270836074638854,3.159741626358032,24.18
21,3.8109013137914944,3.043630757141113,26.22
22,3.7647895465421555,2.9805591621398926,27.44
23,3.7337137585710685,2.9891039207458494,27.28
24,3.7218154190141526,2.9193159469604493,28.4
25,3.682363793673113,2.8850069969177246,29.75
26,3.678563792992126,2.8539609046936034,29.65
27,3.635960421293898,2.775659326171875,31.23
28,3.59948861355062,2.760221639633179,31.74
29,3.5696029425277125,2.7261073749542235,32.19
30,3.555586021574562,2.7063281368255616,32.11
31,3.5196437344831577,2.675085291290283,33.55
32,3.4892526371094883,2.6742016304016114,33.35
33,3.479207393153549,2.6355058395385744,34.26
34,3.4523721043106237,2.572678717422485,35.47
35,3.4286259498132767,2.53733058052063,36.12
36,3.4054605701695317,2.52033161277771,36.59
37,3.3716338287534007,2.4953099433898926,37.4
38,3.3392616479902926,2.427138321495056,38.46
39,3.34419843577363,2.4829813976287842,37.78
40,3.3188395497134273,2.379240263748169,39.47
41,3.291012846295486,2.3331029815673827,39.96
42,3.2581553986615233,2.363237227630615,39.97
43,3.2365867573281992,2.330777403831482,40.22
44,3.2358906656275015,2.291910227584839,41.6
45,3.1985137676034134,2.2957132137298584,41.05
46,3.191768054157267,2.2531193967819214,42.08
47,3.181097498635197,2.1998610425949097,43.35
48,3.1588811371332546,2.218572194862366,43.38
49,3.131772804443184,2.1848231901168824,43.82
50,3.1257361030334705,2.2112301181793215,42.88
51,3.0874287527235573,2.1517479698181154,44.27
52,3.077818970546088,2.135614110374451,45.23
53,3.0534982909936734,2.096463159370422,45.45
54,3.044397521201912,2.088058948135376,46.01
55,3.0422122606536006,2.0352429723739625,46.67
56,3.009515431530945,2.061334239387512,46.38
57,3.000761116557109,2.0169319301605224,47.19
58,2.9998117959712776,2.0001808223724367,47.42
59,2.967414705649666,2.0194518465042113,47.12
60,2.9517966368619133,2.0045249544143675,47.56
